file	ext	bytes	mtime	mutations	paid_api	duplicate_of_tracked	class
CHANGELOG-rev2.json	json	1887	2026-08-11	n/a	-	-	ARTIFACT (json)
CHANGELOG-rev3.json	json	7746	2026-08-11	n/a	-	-	ARTIFACT (json)
add-sources.ts	ts	9240	2026-08-13	DB-WRITE	-	-	DANGEROUS — needs guard
all-art.jpg	jpg	247533	2026-08-14	n/a	-	-	ARTIFACT (jpg)
apply-ch3-editorial-20260804.ts	ts	2826	2026-08-04	DB-WRITE	-	-	DANGEROUS — needs guard
apply-ch4-editorial-20260804.ts	ts	2527	2026-08-04	DB-WRITE	-	-	DANGEROUS — needs guard
apply-ch5-editorial-20260804.ts	ts	2854	2026-08-04	DB-WRITE	-	-	DANGEROUS — needs guard
apply-change-order.ts	ts	11447	2026-08-13	DB-WRITE	-	-	DANGEROUS — needs guard
apply-r6.ts	ts	5111	2026-06-15	DB-WRITE	-	-	DANGEROUS — needs guard
apply-rev3.ts	ts	9766	2026-08-11	DB-WRITE	-	-	DANGEROUS — needs guard
apply-torsion-edit.ts	ts	4101	2026-08-11	DB-WRITE	-	-	DANGEROUS — needs guard
approval-forensics.ts	ts	1358	2026-08-08	db-read	-	-	read-only experiment
approve-all-for-book.ts	ts	1811	2026-06-15	none	-	-	read-only experiment
approve-prep-intro.ts	ts	1721	2026-06-16	DB-WRITE	-	-	DANGEROUS — needs guard
arrow-check.ts	ts	3428	2026-08-11	none	-	-	read-only experiment
art-sheet.ts	ts	1189	2026-08-14	file-write	-	-	read-only experiment
assemble-dump.ts	ts	532	2026-06-16	none	-	-	read-only experiment
aud-1.png	png	31137	2026-08-11	n/a	-	-	ARTIFACT (png)
aud-126.png	png	49186	2026-08-11	n/a	-	-	ARTIFACT (png)
aud-150.png	png	19443	2026-08-11	n/a	-	-	ARTIFACT (png)
aud-154.png	png	48286	2026-08-11	n/a	-	-	ARTIFACT (png)
aud-2.png	png	19358	2026-08-11	n/a	-	-	ARTIFACT (png)
aud-31.png	png	66262	2026-08-11	n/a	-	-	ARTIFACT (png)
aud-5.png	png	85666	2026-08-11	n/a	-	-	ARTIFACT (png)
aud-6.png	png	3777	2026-08-11	n/a	-	-	ARTIFACT (png)
aud-7.png	png	85919	2026-08-11	n/a	-	-	ARTIFACT (png)
aud-88.png	png	56475	2026-08-11	n/a	-	-	ARTIFACT (png)
audit-269.ts	ts	2241	2026-08-07	DB-WRITE	-	-	DANGEROUS — needs guard
audit-cover-prompt.ts	ts	2980	2026-08-10	none	-	-	read-only experiment
audit-restoration-prompts.ts	ts	2014	2026-08-04	db-read	-	-	read-only experiment
audit-source-pagination-coverage-20260804.ts	ts	7320	2026-08-04	db-read,file-write	-	-	read-only experiment
b2.js	js	2101592	2026-08-11	none	-	-	read-only experiment
backend-nowatch.log	log	7301	2026-08-11	n/a	-	-	ARTIFACT (log)
backfill-versions.ts	ts	1838	2026-08-12	none	-	-	read-only experiment
batch-download-review.ts	ts	2709	2026-08-07	db-read,file-write	Anthropic	-	DANGEROUS — needs guard
body-ink.json	json	13621	2026-08-11	n/a	-	-	ARTIFACT (json)
body-sweep.ts	ts	3673	2026-08-11	none	-	-	read-only experiment
build-book.ts	ts	1421	2026-06-16	none	-	-	read-only experiment
build-final.ts	ts	3396	2026-08-11	none	-	-	read-only experiment
build-kdp-package.ts	ts	5708	2026-08-11	file-write	-	-	read-only experiment
build-local.ts	ts	1707	2026-06-16	none	-	-	read-only experiment
build-rev13.ts	ts	10791	2026-08-14	DB-WRITE	-	-	DANGEROUS — needs guard
build-rev15.ts	ts	10791	2026-08-14	DB-WRITE	-	-	DANGEROUS — needs guard
build-rev16.ts	ts	10791	2026-08-14	DB-WRITE	-	-	DANGEROUS — needs guard
build-rev3.ts	ts	11578	2026-08-11	DB-WRITE	-	-	DANGEROUS — needs guard
build-rev4.ts	ts	10171	2026-08-13	DB-WRITE	-	-	DANGEROUS — needs guard
build-rev5.ts	ts	10536	2026-08-14	DB-WRITE	-	-	DANGEROUS — needs guard
bundle.js	js	2089672	2026-08-11	none	-	-	read-only experiment
ce-106.png	png	89758	2026-08-11	n/a	-	-	ARTIFACT (png)
ce-137.png	png	79777	2026-08-11	n/a	-	-	ARTIFACT (png)
ce-153.png	png	114326	2026-08-11	n/a	-	-	ARTIFACT (png)
ce-31.png	png	66262	2026-08-11	n/a	-	-	ARTIFACT (png)
ce-50.png	png	62099	2026-08-11	n/a	-	-	ARTIFACT (png)
ce-63.png	png	82166	2026-08-11	n/a	-	-	ARTIFACT (png)
ce-74.png	png	86319	2026-08-11	n/a	-	-	ARTIFACT (png)
ce-82.png	png	74111	2026-08-11	n/a	-	-	ARTIFACT (png)
cfg-live.json	json	82981	2026-08-12	n/a	-	-	ARTIFACT (json)
cfg-now.json	json	82712	2026-08-11	n/a	-	-	ARTIFACT (json)
cfg-repaired.json	json	82484	2026-08-12	n/a	-	-	ARTIFACT (json)
cfg-verify.json	json	82484	2026-08-12	n/a	-	-	ARTIFACT (json)
ch2-p035-trim-check.ts	ts	1960	2026-08-04	db-read	-	-	read-only experiment
ch2-phase1-edits.ts	ts	6597	2026-08-04	DB-WRITE	-	-	DANGEROUS — needs guard
ch2-phase1-fitcheck-all.ts	ts	6346	2026-08-04	db-read	-	-	read-only experiment
ch2-phase1-fitcheck.ts	ts	2780	2026-08-04	db-read	-	-	read-only experiment
ch2-phase1-refresh-fit.ts	ts	867	2026-08-04	DB-WRITE	-	-	DANGEROUS — needs guard
ch2-phase1-render.ts	ts	973	2026-08-04	db-read	-	-	read-only experiment
ch4-landscape-raw.png	png	1203474	2026-08-14	n/a	-	-	ARTIFACT (png)
ch7-plate-room.ts	ts	1795	2026-08-14	none	-	-	read-only experiment
ch8-expansion-content.ts	ts	17608	2026-08-03	none	-	-	read-only experiment
ch8-knots-v2-content.ts	ts	12941	2026-08-04	none	-	-	read-only experiment
ch8-page-inventory.ts	ts	1021	2026-08-03	db-read	-	-	read-only experiment
changed-pages.ts	ts	1429	2026-08-08	db-read	-	-	read-only experiment
chapter-ends.png	png	311339	2026-08-11	n/a	-	-	ARTIFACT (png)
chapter-ends.ts	ts	1293	2026-08-13	none	-	-	read-only experiment
check-2-pages.ts	ts	652	2026-08-08	db-read	-	-	read-only experiment
check-art-aspect.ts	ts	2063	2026-08-13	none	-	-	read-only experiment
check-b2.ts	ts	2146	2026-08-13	none	-	-	read-only experiment
check-backcover.ts	ts	1524	2026-08-02	none	-	-	read-only experiment
