path	class	owner	loc	safety	mutates	spends	destructive	emits_artifact	importers	in_package_json	in_ci	books	proposed_home	disposition	notes
backend/scripts/c1-regression.ts	BOOK-CLASS	multi-book	151	SAFE-READONLY	no	no	no	no	0	no	no	national-parks|dirt-rich|wildlands|puberty/nottm	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/dirt-rich-cover-copy.ts	BOOK-CLASS	multi-book	141	SAFE-READONLY	no	no	no	no	0	no	no	dirt-rich|puberty/nottm	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/dirt-rich-cover-rev5-pdf.ts	BOOK-CLASS	multi-book	496	WRITES-FILES	no	no	no	yes	0	no	no	dirt-rich|seed-packet	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/dirt-rich-cover.ts	BOOK-CLASS	multi-book	102	SPENDS	no	yes	no	yes	0	no	no	dirt-rich|puberty/nottm	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/national-parks-build.ts	BOOK-CLASS	multi-book	89	MUTATES-STATE	yes	no	no	yes	0	no	no	national-parks|dirt-rich	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/national-parks-cover-copy.ts	BOOK-CLASS	multi-book	54	SAFE-READONLY	no	no	no	no	0	no	no	national-parks|dirt-rich	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/national-parks-cover-print.ts	BOOK-CLASS	multi-book	393	MUTATES-STATE	yes	no	no	yes	0	no	no	national-parks|dirt-rich	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/seed-packet-cover-hardcover.ts	BOOK-CLASS	multi-book	663	WRITES-FILES	no	no	no	yes	0	no	no	dirt-rich|seed-packet	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/seed-packet-cover-paperback.ts	BOOK-CLASS	multi-book	599	WRITES-FILES	no	no	no	yes	0	no	no	dirt-rich|seed-packet	backend/scripts/books/<book>/	RELOCATE (path move only)	
backend/scripts/seed-packet-epub.ts	BOOK-CLASS	multi-book	119	MUTATES-STATE	yes	no	no	yes	0	no	no	dirt-rich|seed-packet	backend/scripts/books/<book>/	RELOCATE (path move only)	
